"","id","click","hour","C1","banner_pos","site_id","site_domain","site_category","app_id","app_domain","app_category","device_id","device_ip","device_model","device_type","device_conn_type","C14","C15","C16","C17","C18","C19","C20","C21"
"1",1000009418151094272,0,14102100,1005,0,"1fbe01fe","f3845767","28905ebd","ecad2386","7801e8d9","07d7df22","a99f214a","ddd2926e","44956a24",1,2,15706,320,50,1722,0,35,-1,79
"2",10000169349117863936,0,14102100,1005,0,"1fbe01fe","f3845767","28905ebd","ecad2386","7801e8d9","07d7df22","a99f214a","96809ac8","711ee120",1,0,15704,320,50,1722,0,35,100084,79
"3",10000371904215119872,0,14102100,1005,0,"1fbe01fe","f3845767","28905ebd","ecad2386","7801e8d9","07d7df22","a99f214a","b3cf8def","8a4875bd",1,0,15704,320,50,1722,0,35,100084,79
"4",10000640724480837632,0,14102100,1005,0,"1fbe01fe","f3845767","28905ebd","ecad2386","7801e8d9","07d7df22","a99f214a","e8275b8f","6332421a",1,0,15706,320,50,1722,0,35,100084,79
"5",1.0000679056417e+19,0,14102100,1005,1,"fe8cc448","9166c161","0569f928","ecad2386","7801e8d9","07d7df22","a99f214a","9644d0bf","779d90c2",1,0,18993,320,50,2161,0,35,-1,157
"6",10000720757801103360,0,14102100,1005,0,"d6137915","bb1ef334","f028772b","ecad2386","7801e8d9","07d7df22","a99f214a","05241af0","8a4875bd",1,0,16920,320,50,1899,0,431,100077,117
"7",10000724729988544512,0,14102100,1005,0,"8fda644b","25d4cfcd","f028772b","ecad2386","7801e8d9","07d7df22","a99f214a","b264c159","be6db1d7",1,0,20362,320,50,2333,0,39,-1,157
"8",10000918755742328832,0,14102100,1005,1,"e151e245","7e091613","f028772b","ecad2386","7801e8d9","07d7df22","a99f214a","e6f67278","be74e6fe",1,0,20632,320,50,2374,3,39,-1,23
"9",10001264480619466752,0,14102100,1002,0,"84c7ba46","c4e18dd6","50e219e0","ecad2386","7801e8d9","07d7df22","c357dbff","f1ac7184","373ecbe6",0,0,21689,320,50,2496,3,167,100191,23
"10",10001868339616595968,0,14102100,1005,1,"e151e245","7e091613","f028772b","ecad2386","7801e8d9","07d7df22","a99f214a","5d877109","8f5c9827",1,0,17747,320,50,1974,2,39,100019,33
